,Afghanistan,Albania,UAE,Armenia,antiguaAndBarbuda,Austria,Azerbaijan,Burundi,Belgium,Benin,burkinaFaso,Bangladesh,Bulgaria,Bahrain,Bahamas,bosniaAndHerzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Botswana,centralAfricanRepublic,Canada,Switzerland,Chile,China,Cote,DRC,Congo,Colombia,Comoros,caboVerde,costaRica,Cyprus,czechRepublic,Germany,Djibouti,Dominica,Denmark,dominicanRepublic,Algeria,Ecuador,Egypt,Spain,Estonia,Finland,Fiji,France,Gabon,UK,Georgia,Ghana,Guinea,Gambia,equatorialGuinea,Greece,Grenada,Guatemala,Guyana,hongKong,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Kiribati,stKittsAndNevis,Korea,Lao,Lebanon,Liberia,Libya,stLucia,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Madagascar,Maldives,Mexico,northMacedonia,Malta,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,westBank,Qatar,Romania,Russia,Rwanda,saudiArabia,Senegal,Singapore,solomonIslands,sierraLeone,elSalvador,sanMarino,Serbia,saoTome,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Chad,Togo,Thailand,Tajikistan,Tonga,trinidadAndTobago,Tunisia,Turkey,Taiwan,Uganda,Uruguay,US,stVincent,Vietnam,Samoa,Kosovo,Yemen,southAfrica,Zambia
1989-12,NA,NA,NA,NA,NA,2.964058,NA,11.76313,3.588594,NA,1.516968,NA,NA,1.980078,4.390236,NA,NA,NA,16.06952,890.8164,6.418342,11.34761,0.203698,5.273017,5.040447,21.17615,6.310351,0.263037,1.803679,NA,26.27752,NA,NA,9.980914,2.716186,NA,3.311258,-4.044636,6.926932,4.776661,34.05356,10.62257,53.04363,26.50847,6.906741,NA,6.347544,4.931587,3.560316,7.997031,5.516145,NA,30.34383,NA,8.324524,-7.720573,15.1093,3.774985,19.7365,NA,10.08228,11.27286,2589.658,10.62579,18.46881,6.401661,5.428012,4.639542,25.20689,20.81391,6.144061,17.57301,25.69211,2.63993,NA,13.65852,NA,NA,NA,6.566745,5.141429,75.65461,NA,NA,6.272423,3.429041,NA,NA,3.928947,NA,7.197862,NA,10.70003,NA,19.48627,NA,-0.289434,NA,NA,NA,16.21182,10.67496,-0.956932,1.94162,NA,1.105867,44.17213,NA,1.341982,4.092527,8.601897,NA,5.539469,0.518448,2699.201,15.46423,634.0301,11.70561,28.78649,NA,NA,NA,NA,0.611075,0.034637,0.971961,3.284513,11.02297,NA,23.30416,NA,NA,NA,2.718975,NA,2810.317,6.582685,8.763706,3.488787,1.151917,-3.165468,6.255752,NA,NA,9.259236,6.578634,64.59719,3.208812,NA,89.71833,4.639602,6.323304,NA,12.31092,NA,NA,15.5201,103.0266
1990-01,NA,NA,NA,NA,NA,2.897997,NA,9.77837,3.567211,NA,2.171099,NA,NA,1.798337,4.338446,NA,NA,NA,17.69603,1595.881,5.755816,11.15939,0.837238,5.443177,5.074721,23.07618,4.714085,-0.686256,1.723307,NA,26.77725,NA,NA,12.28665,1.118494,NA,2.627258,-4.092427,5.844291,3.764925,34.72357,9.637149,50.72625,27.41359,6.711013,NA,7.495467,7.55563,3.568402,7.659458,5.751456,NA,33.27723,NA,10.60668,-3.222679,15.75038,4.230395,21.66433,NA,9.941831,13.11294,3077.143,12.14946,22.65225,6.589567,5.497968,4.379238,23.65551,16.35316,6.537472,17.33325,24.81227,3.322074,NA,14.85039,NA,NA,NA,6.746192,7.339958,76.02944,NA,NA,6.239807,2.931243,NA,NA,3.97916,NA,7.717562,NA,13.05377,NA,22.71016,NA,0.757254,NA,NA,NA,8.984294,12.46312,8.136711,2.452044,NA,1.028066,29.68428,NA,2.230979,4.262877,8.614619,NA,5.593235,0.542328,2343.005,12.29868,1083.544,12.52813,31.96169,NA,NA,NA,NA,0.142943,1.101996,1.610482,3.894195,6.908336,NA,25.35479,NA,NA,NA,13.22281,NA,3453.257,8.881305,9.020972,2.330004,-1.739682,-2.528673,5.923891,NA,NA,11.16827,6.523433,60.12121,3.899632,NA,90.07045,5.19802,6.27012,NA,10.78161,NA,NA,15.34595,101.7222
1990-02,NA,NA,NA,NA,NA,3.16852,NA,6.009644,3.379316,NA,2.867155,NA,NA,1.359278,3.95743,NA,NA,NA,16.68502,3011.453,4.943429,11.70988,-0.985493,5.427621,4.891167,23.46735,4.404325,-0.652794,3.530639,NA,27.15953,NA,NA,12.83549,2.914141,NA,2.627258,-4.122076,6.22702,3.377168,34.97395,7.162538,51.40051,20.74412,7.350135,NA,7.271535,7.645744,3.506002,9.49454,5.898378,NA,36.1424,NA,11.80867,-4.736046,16.1616,3.036681,22.80922,NA,8.997752,14.77469,2921.784,14.01775,24.16624,6.272498,6.005026,4.374153,23.89966,14.9811,6.722243,19.1799,21.62105,3.805179,NA,14.35457,NA,NA,NA,5.366439,7.616262,69.43664,NA,NA,6.207529,3.718578,NA,NA,3.83367,NA,7.564779,NA,14.06448,NA,23.95969,NA,0.30532,NA,NA,NA,13.21961,12.24491,9.555307,3.137593,NA,2.227926,24.0318,NA,2.268928,4.247788,8.490179,NA,5.593862,0.707733,2146.152,12.07565,1265.002,13.4756,33.70142,NA,NA,NA,NA,0.712973,0.907952,2.348124,4.122491,7.144183,NA,25.81713,NA,NA,NA,11.88568,NA,3144.844,8.642764,9.143725,1.737019,-3.266716,-3.413283,5.609629,NA,NA,10.71718,6.7432,59.52559,2.817793,NA,93.25464,5.263158,6.097239,NA,15.42623,NA,NA,15.17407,100.356
1990-03,NA,NA,NA,NA,NA,2.944762,NA,8.134927,3.39135,NA,2.01788,NA,NA,0.85934,4.013704,NA,NA,NA,15.56398,5595.81,3.071918,11.45443,-2.435943,5.264882,4.990757,24.24745,3.721462,-0.253434,2.260703,NA,27.80219,NA,NA,14.73171,3.771256,NA,2.459016,-4.198956,1.186013,3.058358,35.5939,13.62727,44.98742,18.00151,7.065831,NA,6.39291,7.452417,3.495163,11.33774,6.043208,NA,36.35191,NA,11.45273,-3.138984,17.38395,2.870083,25.8323,NA,10.24319,15.40299,2607.176,16.57278,25.61637,5.539631,6.565761,4.370252,21.53291,15.83274,6.229982,19.23291,22.25039,3.557412,NA,14.6847,NA,NA,NA,4.694919,7.898233,68.37678,NA,NA,6.175583,5.310357,NA,NA,3.500392,NA,7.425823,NA,12.91871,NA,24.68748,NA,1.272557,NA,NA,NA,9.258099,13.97366,10.10617,3.092472,NA,-0.203643,18.11167,NA,2.251366,4.585538,9.421633,NA,6.010903,0.352418,2054.118,12.61522,1220.774,13.25248,35.29964,NA,NA,NA,NA,0.953856,1.044349,1.688666,3.426035,9.041835,NA,27.55572,NA,NA,NA,14.44375,NA,2736.957,11.08679,10.69566,2.568603,-2.085643,-0.210548,6.33052,NA,NA,10.80044,6.623086,62.77679,3.247675,NA,95.02198,5.237316,6.164528,NA,19.81368,NA,NA,15.01588,99.72196
1990-04,NA,NA,NA,NA,NA,3.128325,NA,5.994176,3.252629,NA,0.61288,NA,NA,0.434356,3.89112,NA,NA,NA,16.07155,6434.083,3.969112,11.63806,0.809246,5.003563,4.704641,25.11749,3.113592,-0.154157,1.447963,NA,28.12955,NA,NA,16.51612,4.755321,NA,2.446982,-4.304676,0.915638,2.377247,36.5467,12.93473,46.12168,10.24997,6.963837,NA,6.176484,7.745684,3.468811,12.77446,6.556106,NA,36.38646,NA,15.04897,0.226264,16.92965,3.042614,29.0335,NA,9.587867,19.70677,2227.573,16.4767,26.28169,5.115363,7.768824,3.606922,19.32448,16.06748,5.979892,21.2933,18.35351,2.692449,NA,15.15651,NA,NA,NA,4.498319,8.642571,58.44828,NA,NA,6.143964,4.657249,NA,NA,3.576566,NA,6.991513,NA,15.14685,NA,24.77702,NA,2.038471,NA,NA,NA,9.101323,10.8992,7.456189,3.556626,NA,-1.801929,8.627331,NA,2.146637,4.035088,9.84816,NA,4.630796,0.665705,1980.641,12.66908,1207.558,13.33259,39.73748,NA,NA,NA,NA,0.121636,0.93408,1.969648,3.416529,8.963517,NA,30.04838,NA,NA,NA,15.32561,NA,2180.442,9.939864,10.54753,3.118065,-2.762937,0.199514,6.617681,NA,NA,12.08765,6.332746,63.00205,3.392493,NA,98.96059,4.711617,6.252721,NA,20.76511,NA,NA,14.43592,100.2175
1990-05,NA,NA,NA,NA,NA,2.93582,NA,5.513934,3.148561,NA,0.55496,NA,NA,1.147663,3.570044,NA,NA,NA,15.66372,6812.234,3.511728,11.38022,-1.877706,4.452508,5.013636,24.346,2.581071,-0.18674,1.435788,NA,28.37051,NA,NA,16.36656,6.910858,NA,2.442997,-4.217839,1.902387,2.382732,35.61367,16.59095,47.88787,23.09368,6.738265,NA,6.344278,8.054447,3.114149,11.22857,6.880836,NA,36.16288,NA,13.21451,7.798618,20.08124,2.471379,35.58332,NA,9.978669,20.11891,1832.353,19.74894,26.66935,5.535999,7.774719,3.609697,18.07334,17.00248,5.962757,18.81276,20.02957,2.588353,NA,13.61294,NA,NA,NA,3.254567,8.591353,48.52262,NA,NA,6.112668,6.448601,NA,NA,3.404136,NA,7.043015,NA,12.94145,NA,25.04957,NA,2.494142,NA,NA,NA,0.273293,10.94522,7.200904,3.420966,NA,-0.572462,7.628543,NA,2.259997,3.839442,10.00443,NA,7.178618,0.488106,2003.267,12.26255,1171.694,14.15316,40.12556,NA,NA,NA,NA,-0.111426,2.014507,1.247522,3.210043,5.972393,NA,29.13032,NA,NA,NA,18.2894,NA,1796.403,10.13928,11.22994,5.396652,-0.142328,1.057357,6.332323,NA,NA,11.72943,6.346778,63.58841,3.642332,NA,104.2292,4.3654,6.110473,NA,22.3256,NA,NA,13.95473,98.36975
1990-06,NA,NA,NA,NA,NA,2.959701,NA,4.202129,2.984673,NA,-3.924023,NA,NA,0.439121,3.644333,NA,NA,NA,18.31281,7583.963,2.690112,10.66809,-0.271072,4.414222,5.003262,24.89953,1.123557,-1.770809,0.26805,NA,29.02095,NA,NA,17.91842,5.987406,NA,2.442997,-4.19473,1.965612,2.522213,35.39199,20.31704,48.10118,22.32916,6.521661,NA,5.695653,8.092677,2.998508,9.032011,6.881921,NA,36.8139,NA,14.11268,2.095545,21.26786,1.650659,39.95542,NA,9.962177,21.93438,1420.159,20.90104,26.28832,6.868453,8.816855,3.591157,15.52363,16.52553,5.940339,18.44477,18.38737,2.365242,NA,13.27022,NA,NA,NA,3.072033,8.94682,34.48646,NA,NA,6.081688,4.287946,NA,NA,3.101907,NA,7.020224,NA,12.73838,NA,26.11343,NA,4.371591,NA,NA,NA,7.127843,9.954183,10.15564,3.226554,NA,-1.178719,-0.183572,NA,2.321435,3.645833,8.669663,NA,8.965591,1.012278,2321.246,11.60991,1137.543,13.63944,37.78397,NA,NA,NA,NA,-0.513931,1.907247,1.068398,2.776596,8.754266,NA,26.54724,NA,NA,NA,17.8966,NA,1347.668,9.742495,30.71772,5.234028,1.187586,9.257745,6.31255,NA,NA,11.70536,6.307197,62.50679,3.585969,NA,107.228,4.67365,6.069688,NA,19.35503,NA,NA,13.40641,98.80697
1990-07,NA,NA,NA,NA,NA,2.829924,NA,5.230407,3.004056,NA,-1.730054,NA,NA,0.896227,4.186836,NA,NA,NA,20.16687,4221.854,1.811092,10.69678,1.990666,4.169953,5.288211,24.59738,1.125476,-1.597339,-0.458424,NA,28.71581,NA,NA,19.75573,4.427802,NA,2.442997,-4.3587,2.313044,2.137666,39.9978,12.94426,51.39076,21.02971,6.273975,NA,5.854774,7.414325,2.808961,7.033618,6.706135,NA,39.15347,NA,14.93331,-2.691797,21.81746,0.635199,44.78215,NA,9.890416,23.44414,1066.055,22.03211,28.10207,8.759082,9.882647,2.960174,15.52545,17.4857,6.069231,20.42165,14.6463,2.258016,NA,12.25901,NA,NA,NA,3.023521,9.339415,30.74461,NA,NA,6.051021,2.449224,NA,NA,2.993072,NA,6.389694,NA,10.85415,NA,27.07683,NA,4.504418,NA,NA,NA,6.446712,12.76959,12.10323,2.554319,NA,-2.85849,3.270261,NA,2.346282,3.460208,7.290583,NA,10.40521,0.988626,3059.257,11.97503,1073.874,13.3061,35.80305,NA,NA,NA,NA,2.151836,2.308038,-2.322037,2.861071,8.696355,NA,24.48498,NA,NA,NA,22.80514,NA,1007.864,10.88245,15.37807,5.717386,-2.949361,3.928931,5.054203,NA,NA,11.18699,6.32255,56.65228,4.77687,NA,106.495,4.819277,5.966197,NA,21.40077,NA,NA,13.01722,92.95382
1990-08,NA,NA,NA,NA,NA,3.19345,NA,5.488035,3.223804,NA,-1.173079,NA,NA,0.451774,4.343177,NA,NA,NA,17.99942,4789.567,1.787112,10.97216,1.905441,4.13518,6.03842,25.66007,2.173699,-1.882377,1.943043,NA,28.56244,NA,NA,21.00225,5.284939,NA,2.435065,-4.36497,3.816172,2.630454,51.82277,16.02179,48.68857,19.16976,6.422847,NA,6.311813,8.394121,3.373764,9.295102,7.845015,NA,39.97206,NA,16.49234,-9.274966,22.13314,1.16597,44.16987,NA,10.17236,24.41411,810.8236,26.42243,29.48495,9.262699,9.182469,2.942118,14.27867,17.91851,6.892896,22.12279,11.25941,2.807876,NA,13.3405,NA,NA,NA,2.624321,8.987349,18.63391,NA,NA,6.020662,3.19818,NA,NA,3.290674,NA,5.585286,NA,11.4553,NA,27.94195,NA,4.125073,NA,NA,NA,4.043338,12.84184,9.311384,2.527235,NA,-2.77545,3.520294,NA,2.351152,3.799655,7.551869,NA,11.688,1.218385,12435.52,10.26253,751.0413,12.83522,35.53121,NA,NA,NA,NA,2.864843,2.456313,-2.079277,3.075817,7.602966,NA,20.61799,NA,NA,NA,26.57142,NA,740.1538,11.16042,11.62789,4.019827,1.151641,1.781126,4.432792,NA,NA,10.69276,6.438472,54.84987,5.692719,NA,109.619,5.702811,5.904346,NA,14.67857,NA,NA,13.37129,94.44722
1990-09,NA,NA,NA,NA,NA,3.857946,NA,6.016862,3.723154,NA,-2.842654,NA,NA,1.615862,4.397025,NA,NA,NA,15.21266,3558.937,1.142613,10.93723,1.766473,4.236612,6.100644,29.04262,2.71902,-1.586053,0.43335,NA,30.0288,NA,NA,21.16715,4.837174,NA,2.746365,-4.334557,1.948321,2.953872,60.14049,18.65251,46.19518,18.52455,6.477403,NA,5.58797,7.892089,3.829367,7.628206,8.151891,NA,40.73204,NA,11.91385,-0.586141,21.88818,2.549631,51.42856,NA,10.42835,25.66735,561.648,22.14477,31.12642,9.629224,8.461293,2.937335,12.01087,18.48828,6.871365,19.4844,12.60555,2.827247,NA,14.66991,NA,NA,NA,4.926397,8.693515,16.80353,NA,NA,5.990606,4.075184,NA,NA,3.684943,NA,5.533993,NA,10.02365,NA,28.23184,NA,2.657288,NA,NA,NA,6.729067,16.37494,15.73646,2.7739,NA,1.368648,4.000111,NA,2.694475,4.145078,7.733509,NA,10.69845,0.85622,11196.73,10.3264,559.7415,13.76104,35.65614,NA,NA,NA,NA,3.949715,2.372241,-0.604915,3.639747,10.28187,NA,20.60741,NA,NA,NA,26.47677,NA,500.8631,11.44658,12.27337,4.623676,1.789052,-0.743838,4.172674,NA,NA,10.98696,6.152858,59.10734,6.55183,46.84151,128.9028,6.169872,5.927128,NA,11.87079,NA,NA,14.42532,199.6708
