Date,devCountries,latAm,MENA,Argentina,Belarus,Belize,Brazil,Chile,China,Colombia,Cote,Croatia,dominicanRepublican,Ecuador,Egypt,elSalvador,Gabon,Georgia,Ghana,Hungary,India,Indonesia,Iraq,Jamaica,Jordan,Kazakhstan,Lebanon,Lithuania,Malaysia,Mexico,Morocco,Nigeria,Pakistan,Panama,Peru,Philippines,Poland,Russia,Senegal,southAfrica,sriLanka,trinidadAndTobago,Tunisia,Turkey,Ukraine,Uruguay,Venezuela RB,Vietnam
1997-01,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-02,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-03,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-04,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-05,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-06,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-07,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-08,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-09,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-10,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-11,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1997-12,489,467,,456,,,520,,120,286,,335,,648,,,,,,,,,,,,,,,197,400,436,761,,331,421,380,221,656,,242,,,,365,,,436,
1998-01,539.05,513.95,,489.15,,,582.2,,120.45,314.35,,405.55,,751.8,,,,,,,,,,,,,,,236.75,421.15,497.4,764.25,,341.2,473.5,426.6,235.65,772.7,,282.85,,,,392.4,,,506.6,
1998-02,484.6842105,456.3157895,,420.5263158,,,511.3684211,,129.1052632,292.8421053,,367.0526316,,714.5789474,,,,,,,,,,,,,,,219.4736842,380.6842105,464.4736842,687.7368421,,309.8947368,423.8421053,348.1052632,208.4210526,738.2105263,,279.7894737,,,,409.6842105,,,462.6842105,
1998-03,448.6363636,425.8636364,,396.5454545,,,462.8636364,,129.7272727,271.5909091,,334.1818182,,664.5454545,,,,,,,,,,,,,,,246.3636364,370.4090909,422.5,662.5909091,,293.2272727,406.1363636,346.5909091,196.3636364,650,,251.8636364,,,,382.8636364,,,436.6363636,
1998-04,449.7142857,433.6666667,249,410.1428571,,,464.3809524,,129.7142857,291.5714286,586,341.3333333,,702.9047619,,,,,,,,,,,,,249,,265.952381,374.4285714,431.4761905,675.6666667,,297,398.3333333,347.952381,189.8095238,651.7142857,,243.5238095,,,,374.7619048,,,457.0952381,
1998-05,484.4,473.6,261.35,440.6,,,520.2,,125.2,313.95,609.85,358,,749.75,,,,,,,,,,,,,261.35,,293.85,404.35,424.85,735.45,,328.6,425.3,372.45,182.2,706.15,,240.25,,,,389.75,,,498.05,
1998-06,555.4545455,538.8636364,271.9090909,483.9545455,,,612.9090909,,129.5454545,369.7727273,672.4090909,384.0454545,,811.6363636,,,,,,,,,,,,,271.9090909,,371.6363636,452.8636364,452.5454545,806.3181818,,361.7727273,491.1363636,393.7727273,200.6818182,862.3636364,,285.4090909,,,,441,,,580,
1998-07,593.2727273,550.3636364,250.5909091,457.5454545,,,613.5454545,,143.2727273,370.3181818,754.5909091,372.9545455,,793.1363636,,,,,,,,,,,,,250.5909091,,419.2727273,458.8636364,459.0454545,769.2727273,,384.3181818,536.8181818,405.3181818,198,1080.090909,,350.9545455,,,,469.5,,,759.5454545,
1998-08,968.5714286,871.6190476,227.952381,749.9047619,,,952.047619,,241.6190476,491.4761905,1099.952381,476.3333333,,1349.904762,,,,,,,,,,,,,227.952381,,617.3333333,687,840.3809524,1219.428571,,540.3333333,687.047619,630.1428571,266.1904762,2525.238095,,476.4285714,,,,627.1904762,,,1553.666667,
1998-09,1405.52381,1224.952381,250.2380952,1076.714286,,,1370.428571,,288.2380952,924,1388.571429,881.7619048,,1975.428571,,,,,,,,,,,,,250.2380952,,1033.190476,944.1428571,1140.095238,1791.380952,,603.7142857,935.7619048,937.2857143,344.8571429,4981.047619,,569.1904762,,,,846.4285714,,,2102.333333,
1998-10,1275.619048,1049.095238,276.1904762,826.5714286,,,1265.619048,,213.1428571,882.2857143,1225.047619,844,,1734.333333,,,,,,,,,,,,,276.1904762,,981.7619048,890.4285714,930.6666667,1577.714286,,539.8095238,797.6190476,816.6190476,344.8571429,5919.285714,,646.7619048,,,,880.047619,,,1411,
1998-11,1090.894737,875.3157895,220.9473684,691.5789474,,,1026.052632,,204.1578947,590.3684211,926.7368421,591.9473684,,1239.052632,,,,,,,,,,,,,220.9473684,,734.0526316,720.3157895,754,1139.578947,,449.1052632,631.8947368,585.3157895,268.3157895,5010.526316,,567.4210526,,,,666.2105263,,,1441.052632,
1998-12,1146.954545,955.0454545,241.1363636,714.7727273,,,1206.5,,193.4090909,672.7727273,977.5909091,675.0909091,,1577.409091,,,,,,,,,,,,,241.1363636,,618.3636364,753.3181818,765.4090909,1149.045455,,475.8181818,655.1818182,539.4090909,289.4090909,5203.318182,,572.8181818,,,,705.0909091,,,1452.863636,
1999-01,1204.263158,1065.578947,252.8947368,827.6315789,,,1455.947368,,200.2631579,643.2631579,1056.578947,596.5263158,,1904.578947,,,,,,129,,,,,,,252.8947368,,537.8421053,769.3157895,768.4210526,1182.789474,,488.3684211,701.2105263,522.7894737,274.2631579,4886.157895,,634.5263158,,,,710.0526316,,,1433.736842,
