date,Albania,advanced,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,bosniaAndHerzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Colombia,costaRica,Cyprus,czechRepublic,Germany,Denmark,emdeEAsia,emdeEMEA,Ecuador,Egypt,emdes,Spain,Estonia,Finland,France,UK,Georgia,Ghana,Greece,Guatemala,highIncome,hongKong,Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iran,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,Korea,Kuwait,emdeLatAm,lowIncome,sriLanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,middleIncome,northMacedonia,Malta,Mongolia,emdeMENA,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,newZealand,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,emdeSouthAsia,saudiArabia,Singapore,elSalvador,Serbia,emdeAfrica,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,Taiwan,Ukraine,Uruguay,US,Vietnam,World,southAfrica
1/1/1990,NA,7046025,47502.43,158133.9,NA,NA,NA,NA,NA,NA,2205.213,294869.9,NA,252476.5,106279.3,NA,NA,NA,NA,NA,NA,659346.6,NA,NA,NA,9302.147,NA,NA,NA,NA,44280.59,488916.5,414090.5,NA,NA,NA,NA,7290787,25372.85,NA,NA,NA,67890.83,NA,NA,NA,NA,NA,458884,NA,1114070,NA,NA,89337.38,NA,NA,NA,NA,NA,NA,NA,NA,154480.3,NA,NA,NA,NA,NA,NA,NA,NA,136785.7,63429.34,19821.54,NA,22683.85,NA,NA,NA,NA,NA,NA,NA,NA,16487.22,3037.335,NA,NA,NA,NA,79307.89,NA,NA,86690.12,37406.26,NA,NA,2234331,NA,8974507,52961.73
4/1/1990,NA,7103328,48130.97,158308.1,NA,NA,NA,NA,NA,NA,2157.722,272231,NA,251433.1,106591,NA,NA,NA,NA,NA,NA,662630,NA,NA,NA,9331.867,NA,NA,NA,NA,43818.11,491848.5,416217.5,NA,NA,NA,NA,7350080,25893.68,NA,NA,NA,69718.01,NA,NA,NA,NA,NA,460282.6,NA,1143545,NA,NA,90903.48,NA,588836.2,NA,NA,NA,NA,NA,NA,157832.2,NA,NA,NA,NA,NA,NA,NA,NA,137930,64114.6,19741.4,NA,22640.92,NA,NA,NA,NA,NA,NA,NA,NA,16656.64,3116.88,NA,NA,NA,NA,80290.78,NA,NA,91881.17,38142.91,NA,NA,2242448,NA,9025252,52918.02
7/1/1990,NA,7143716,52613.26,157411.3,NA,NA,NA,NA,NA,NA,2213.337,290908.2,NA,249649.7,106325.6,NA,NA,NA,NA,NA,NA,676555.3,NA,NA,NA,9446.25,NA,NA,NA,NA,43175.87,493669.5,411872.1,NA,NA,NA,NA,7391872,26177.91,NA,NA,NA,71622.23,NA,NA,NA,NA,NA,461023.1,NA,1165569,NA,NA,94436.64,NA,619342.9,NA,NA,NA,NA,NA,NA,159985.2,NA,NA,NA,NA,NA,NA,NA,NA,139810.8,63483.87,19744.26,NA,22950.62,NA,NA,NA,NA,NA,NA,NA,NA,16847.77,3165.63,NA,NA,NA,NA,79697.03,NA,NA,90023.73,38144.29,NA,NA,2243881,NA,9103833,52873.54
10/1/1990,NA,7136701,53868.88,158319.4,NA,NA,NA,NA,NA,NA,2239.357,287112.9,NA,247428.5,106183.8,NA,NA,NA,NA,NA,NA,688347.2,NA,NA,NA,9523.07,NA,NA,NA,NA,42850.63,495039.8,410455,NA,NA,NA,NA,7384614,26430.81,NA,NA,NA,73125.13,NA,NA,NA,NA,NA,458026.4,NA,1164531,NA,NA,95940.44,NA,618886.6,NA,NA,NA,NA,NA,NA,162018.5,NA,NA,NA,NA,NA,NA,NA,NA,140918.1,65183.9,20133.52,NA,22950.66,NA,NA,NA,NA,NA,NA,NA,NA,17115.95,3187.306,NA,NA,NA,NA,80134.47,NA,NA,91903.4,40620.9,NA,NA,2223444,NA,9099660,52922.56
1/1/1991,NA,7160418,51359.48,156262.7,NA,NA,NA,NA,NA,NA,2264.255,275860,NA,243898.5,105844.4,NA,NA,NA,3629.124,NA,NA,710397.8,60308.14,NA,NA,9685.589,NA,NA,NA,NA,41712.98,494070.9,409257.3,NA,NA,NA,NA,7409154,26860.2,NA,NA,NA,74100.13,NA,NA,NA,NA,NA,462607.5,NA,1176471,NA,NA,99420.36,NA,603127.1,NA,NA,NA,NA,NA,NA,162465.1,NA,NA,NA,NA,NA,NA,NA,NA,140346.6,65736.94,19470.92,NA,22619.93,NA,NA,NA,NA,NA,NA,NA,NA,17525.64,3126.406,NA,NA,NA,NA,79661.15,NA,NA,85556.89,39967.09,NA,NA,2213130,NA,9102457,52501.69
4/1/1991,NA,7191301,54073.1,156021.5,NA,NA,NA,NA,NA,NA,2309.475,290076.3,NA,245032.2,105290,NA,NA,NA,3662.336,NA,NA,706820.6,60081,NA,NA,9911.894,NA,NA,NA,NA,41283.44,496984.3,408741.3,NA,NA,NA,NA,7441110,27206.86,NA,NA,NA,76309.3,NA,NA,NA,NA,NA,460074.7,NA,1186875,NA,NA,100848.1,NA,626630.2,NA,NA,NA,NA,NA,NA,164951.1,NA,NA,NA,NA,NA,NA,NA,NA,141991.1,66080.82,19276.29,NA,22450.33,NA,NA,NA,NA,NA,NA,NA,NA,17771.48,3216.951,NA,NA,NA,NA,79266.41,NA,NA,90559.98,41290.9,NA,NA,2230320,NA,9171032,52383.15
7/1/1991,NA,7206839,58084.46,156707.1,NA,NA,NA,NA,NA,NA,2342.66,300563.9,NA,245362.2,105334.2,NA,NA,NA,3692.101,NA,NA,705274.8,60844.78,NA,NA,9973.349,NA,NA,NA,NA,40735.89,497917.4,407848.7,NA,NA,NA,NA,7457187,27576.97,NA,NA,NA,77920.87,NA,NA,NA,NA,NA,460239.9,NA,1186147,NA,NA,103157.6,NA,644319.5,NA,NA,NA,NA,NA,NA,165257.8,NA,NA,NA,NA,NA,NA,NA,NA,142571.9,65919.29,19475.93,NA,22526.38,NA,NA,NA,NA,NA,NA,NA,NA,18067.15,3197.607,NA,NA,NA,NA,78553.08,NA,NA,94901.5,42175.1,NA,NA,2241589,NA,9214837,52362.78
10/1/1991,NA,7250526,59937.72,156801.5,NA,NA,NA,NA,NA,NA,2361.274,290575.4,NA,245816.1,105441.8,NA,NA,NA,3817.283,NA,NA,714256,60045.92,NA,NA,9984.953,NA,NA,NA,NA,40100.51,500153,408557.2,NA,NA,NA,NA,7502393,28154.14,NA,NA,NA,79269.96,NA,NA,NA,NA,NA,465642.8,NA,1194809,NA,NA,105565.5,NA,638349.7,NA,NA,NA,NA,NA,NA,168242.7,NA,NA,NA,NA,NA,NA,NA,NA,144151.7,66402.71,19495.25,NA,23117.88,NA,NA,NA,NA,NA,NA,NA,NA,18211.41,3160.466,NA,NA,NA,NA,78734.45,NA,NA,90722.36,43781.03,NA,NA,2249420,NA,9255554,52272.77
1/1/1992,NA,7311252,58888.79,158010.5,NA,NA,NA,NA,NA,NA,2334.365,288878.4,NA,245996.4,106083.9,NA,233269.5,NA,3890.111,NA,NA,725089.7,61134.7,NA,NA,10067.57,NA,NA,NA,NA,40195.2,504896.7,408586.7,NA,NA,NA,NA,7565228,28457.71,NA,NA,NA,79480.3,NA,NA,NA,NA,NA,466895.4,2476.257,1196565,NA,NA,107605.7,NA,635412.7,NA,NA,NA,NA,NA,NA,168227.9,NA,NA,NA,NA,NA,NA,NA,NA,145171.9,67814.85,19588.27,NA,23046.71,NA,NA,NA,NA,NA,NA,NA,NA,18529.83,3317.043,NA,NA,NA,NA,80109.53,NA,NA,91083.86,44116.05,NA,NA,2276351,NA,9321981,51906.51
4/1/1992,NA,7331804,60534.69,159092.1,NA,NA,NA,NA,NA,NA,2347.871,285848.4,NA,246294.5,105820.2,NA,245129.9,NA,4003.016,NA,NA,719864.5,60772.94,410658.1,NA,9976.359,NA,NA,NA,NA,39721.75,505134.6,408104.5,NA,NA,NA,NA,7586494,28953.84,NA,NA,NA,80635.85,NA,NA,NA,NA,NA,466627,2526.469,1196541,NA,NA,108315,NA,637076.7,NA,NA,NA,NA,NA,NA,170986.7,1692104,NA,NA,NA,NA,NA,NA,NA,143838.9,68168.4,19785.76,NA,22442.25,NA,NA,NA,NA,NA,NA,NA,NA,18750.86,3309.803,NA,NA,NA,NA,78512.94,NA,NA,94270.1,44746.81,NA,NA,2300990,NA,9364942,51588.1
