"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,3.490158,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,1.512276,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,0.109259,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,0.949378,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,-1.183317,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,-1.444402,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,-0.447318,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,-0.95879,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,1.118515,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,1.968052,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,2.555973,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,4.610431,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,4.545547,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,4.395504,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,3.461376,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,3.233515,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,4.235612,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,4.96705,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,5.646777,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,4.716451,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,2.993171,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,2.080085,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,3.580448,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,2.716877,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,4.409303,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,4.801918,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,3.32104,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,4.124506,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,3.057442,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,5.344324,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,4.6391,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,5.168945,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,5.29735,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,3.245564,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,5.098464,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,5.257411,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,5.277714,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,4.666004,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,3.8653,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,4.008222,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,3.645085,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,4.211826,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,3.22491,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,1.123658,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,1.735637,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,1.665561,,
