date,Albania,advanced,Argentina,Armenia,Australia,Austria,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,bosniaAndHerzegovina,Belarus,Belize,Bolivia,Brazil,Brunei,Botswana,centralAfricanRepublic,Canada,Switzerland,Chile,China,Colombia,costaRica,Cyprus,czechRepublic,Germany,Dominica,Denmark,dominicanRepublic,Algeria,emdeEAsia,emdeEMEA,Ecuador,Egypt,emdes,Spain,Estonia,Ethiopia,Finland,France,Gabon,UK,Georgia,Greece,Guatemala,highIncome,hongKong,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Korea,Kuwait,emdeLatAm,Lebanon,lowIncome,sriLanka,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Maldives,Mexico,middleIncome,northMacdeonia,Myanmar,Mongolia,emdeMENA,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,newZealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Rwanda,emdeSouthAsia,saudiArabia,Singapore,sierraLeone,elSalvador,emdeAfrica,Slovakia,Slovenia,Sweden,Seychelles,Syria,Thailand,Tajikistan,Tonga,Tunisia,Turkey,Taiwan,Tanzania,Uganda,Ukraine,Uruguay,US,Venezuela,Vietnam,World,Samoa,southAfrica,Zambia
1991-01,NA,NA,9.817696792,NA,4.299376,1.837464,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.662274,NA,NA,NA,NA,2.011213,32.90382,6.158787,NA,2.017215,NA,NA,1.87008,NA,NA,NA,NA,2.234418,NA,NA,NA,NA,7.339804,NA,NA,5.637516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.330112,3.786921,2.714957,3.19256,3.014837,NA,NA,NA,NA,3.592023,NA,NA,NA,2.23973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.398829,NA,NA,NA,5.947402,4.743065,NA,NA,NA,NA,1.775093,NA,NA,NA,NA,NA,NA,NA,1.334389,NA,8.226249,NA,NA,NA,NA,NA,4.199529,NA,NA,4.290385,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.074825,NA,NA,NA,NA,NA,NA
1991-02,NA,NA,10.20106412,NA,4.633154,2.2431,NA,1.655345,NA,NA,NA,NA,NA,NA,NA,6.625619,NA,NA,NA,1415.365,6.501156,37.14453,7.047176,8.711198,2.362492,4.194586,NA,1.925465,NA,3.497697,NA,NA,2.655798,NA,NA,NA,NA,8.13557,NA,NA,5.62165,1394.428,NA,439.9161,NA,NA,NA,NA,NA,NA,NA,NA,2.326627,4.1021,3.03214,3.124334,2.62579,NA,1959.323,NA,NA,3.478949,NA,NA,NA,1.986584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.547126,NA,NA,1898.683,6.644825,4.950302,NA,NA,NA,NA,2.118905,NA,10.16526,NA,NA,NA,NA,NA,2.560724,NA,8.129074,NA,NA,NA,NA,NA,4.415773,NA,NA,4.880358,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125985,NA,NA,NA,NA,2.383921,NA
1991-03,NA,NA,9.648512089,NA,5.727647,2.198673,NA,1.374511,NA,NA,NA,NA,NA,NA,NA,5.49242,NA,NA,NA,1222.625,6.279592,36.52599,6.64111,5.558457,2.866047,3.429781,NA,1.830985,NA,3.409683,NA,NA,2.48322,NA,NA,NA,NA,9.762066,NA,NA,5.20995,1274.109,NA,444.7599,NA,NA,NA,NA,NA,NA,NA,NA,2.168254,4.022567,3.045599,3.08687,2.4443,NA,1956.081,NA,NA,3.526424,NA,NA,NA,2.005454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.273998,NA,NA,1869.008,7.543215,5.700178,NA,NA,NA,NA,2.273551,NA,8.162535,NA,NA,NA,NA,NA,2.520015,NA,8.91336,NA,NA,NA,NA,NA,4.626405,NA,NA,4.817012,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15713,NA,NA,NA,NA,2.55506,NA
1991-04,NA,NA,6.336278497,NA,4.832936,1.804922,NA,1.414502,NA,NA,NA,NA,NA,NA,NA,5.239092,NA,NA,NA,1079.002,6.238403,39.33988,6.371761,5.78303,2.661201,3.378036,NA,1.90168,NA,3.535425,NA,NA,2.552409,NA,NA,NA,NA,8.646538,NA,NA,5.340746,1701.325,NA,519.5052,NA,NA,NA,NA,NA,NA,NA,NA,2.003006,4.272196,3.025349,3.187972,1.968983,NA,1910.047,NA,NA,3.891837,NA,NA,NA,1.938958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.483269,NA,NA,1833.595,5.175401,5.119954,NA,NA,NA,NA,3.481244,NA,8.596491,NA,NA,NA,NA,NA,2.441905,NA,9.46853,NA,NA,NA,NA,NA,4.094276,NA,NA,5.035323,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.036485,NA,NA,NA,NA,2.034854,NA
1991-05,NA,NA,8.075307391,NA,4.999054,2.112356,NA,1.494551,NA,NA,NA,NA,NA,NA,NA,6.08159,NA,NA,NA,1140.613,5.567843,34.30624,6.854034,6.234352,2.375946,3.264417,NA,1.903052,NA,3.234035,NA,NA,2.734717,NA,NA,NA,NA,10.33013,NA,NA,4.120111,1323.806,NA,479.7405,NA,NA,NA,NA,NA,NA,NA,NA,1.667812,4.177161,2.919082,3.237872,2.026231,NA,1532.667,NA,NA,3.163865,NA,NA,NA,1.973644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.392422,NA,NA,1832.593,6.811934,5.040985,NA,NA,NA,NA,3.391417,NA,9.676201,NA,NA,NA,NA,NA,2.172838,NA,9.099601,NA,NA,NA,NA,NA,4.953486,NA,NA,4.876076,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96731,NA,NA,NA,NA,2.190883,NA
1991-06,NA,NA,8.128898751,NA,5.593662,2.115683,NA,1.545609,NA,NA,NA,NA,NA,NA,NA,5.872682,NA,NA,NA,1142.701,6.323987,36.61651,7.050088,5.930048,3.21848,5.706381,NA,1.918067,NA,3.090125,NA,NA,2.929565,NA,NA,NA,NA,10.9751,NA,NA,5.753888,1494.292,NA,504.0389,NA,NA,NA,NA,NA,NA,NA,NA,1.52159,4.715303,2.896177,3.501679,2.58855,NA,1849.159,NA,NA,3.714432,NA,NA,NA,2.159432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.322728,NA,NA,1948.111,7.554978,5.376475,NA,NA,NA,NA,3.664082,NA,10.90481,NA,NA,NA,NA,NA,2.013858,NA,9.33139,NA,NA,NA,NA,NA,6.156678,NA,NA,5.338694,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04079,NA,NA,NA,NA,2.554425,NA
1991-07,NA,NA,7.355860933,NA,4.931131,2.291453,NA,1.586126,NA,NA,NA,NA,NA,NA,NA,6.279177,NA,NA,NA,1145.103,5.671576,33.76966,7.212019,6.636355,3.921067,4.3057,NA,1.870983,NA,3.312684,NA,NA,3.18959,NA,NA,NA,NA,10.26038,NA,NA,5.037992,1187.611,NA,479.9756,NA,NA,NA,NA,NA,NA,NA,NA,1.601028,4.459193,3.861625,3.457822,2.56119,NA,1390.726,NA,NA,3.402444,NA,NA,NA,1.991919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.244812,NA,NA,1840.127,7.566791,5.109413,NA,NA,NA,NA,3.342322,NA,11.92746,NA,NA,NA,NA,NA,2.719139,NA,9.176201,NA,NA,NA,NA,NA,5.166494,NA,NA,5.293538,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889292,NA,NA,NA,NA,2.255715,NA
1991-08,NA,NA,6.743477616,NA,5.259059,2.317793,NA,1.553597,NA,NA,NA,NA,NA,NA,NA,4.416447,NA,NA,NA,1235.002,5.955942,34.45698,7.10563,8.222383,4.320992,4.226089,NA,1.993344,NA,3.19823,NA,NA,3.211459,NA,NA,NA,NA,10.84957,NA,NA,4.604411,1222.606,NA,443.5345,NA,NA,NA,NA,NA,NA,NA,NA,2.14775,4.585775,2.929341,3.69258,2.523642,NA,1544.51,NA,NA,3.455965,NA,NA,NA,1.917963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29762,NA,NA,1874.447,7.157234,5.438707,NA,NA,NA,NA,3.52705,NA,13.42939,NA,NA,NA,NA,NA,2.041931,NA,9.416154,NA,NA,NA,NA,NA,4.773303,NA,NA,5.084803,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85599,NA,NA,NA,NA,2.130404,NA
1991-09,NA,NA,7.599181391,NA,5.025269,2.429519,NA,1.583647,NA,NA,NA,NA,NA,NA,NA,4.498466,NA,NA,NA,1303.07,6.220209,32.13727,7.434279,8.442169,3.177217,2.762147,NA,2.082145,NA,3.154338,NA,NA,3.451188,NA,NA,NA,NA,11.38493,NA,NA,4.087885,1259.293,NA,556.3363,NA,NA,NA,NA,NA,NA,NA,NA,2.996098,5.190193,3.372046,3.637997,3.064494,NA,1568.926,NA,NA,3.664343,NA,NA,NA,2.048486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45256,NA,NA,1897.09,7.8508,5.294583,NA,NA,NA,NA,3.811724,NA,14.80977,NA,NA,NA,NA,NA,2.590108,NA,10.16176,NA,NA,NA,NA,NA,4.786236,NA,NA,5.848555,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89801,NA,NA,NA,NA,2.26894,NA
1991-10,NA,NA,6.518893362,NA,4.755258,2.262473,NA,1.509366,NA,NA,NA,NA,NA,NA,NA,3.721436,NA,NA,NA,1302.681,5.772662,26.70829,7.617144,7.903048,4.004433,5.213556,NA,1.915328,NA,2.784809,NA,NA,3.435392,NA,NA,NA,NA,9.928642,NA,NA,2.264522,1054.09,NA,568.4926,NA,NA,NA,NA,NA,NA,NA,NA,3.141413,4.231726,3.473608,3.237748,2.582215,NA,1578.365,NA,NA,3.18565,NA,NA,NA,1.891511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29552,NA,NA,1936.665,5.821503,4.721794,NA,NA,NA,NA,3.974564,NA,15.28552,NA,NA,NA,NA,NA,2.793948,NA,10.25764,NA,NA,NA,NA,NA,4.267193,NA,NA,5.531927,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.804517,NA,NA,NA,NA,2.316631,NA
