,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,antiguaAndBarbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,bosniaAndHerzegovina,Botswana,Brazil,britishVirginIslands,Brunei,Bulgaria,burkinaFaso,Burundi,caboVerde,Cambodia,Cameroon,Canada,caymanIslands,centralAfricanRepublic,Chad,channelIslands,Chile,China,Colombia,Comoros,DRC,Congo,Costa Rica,Cote,Croatia,Cuba,Curaçao,Cyprus,czechRepublic,Denmark,Djibouti,Dominica,dominicanRepublic,Ecuador,Egypt,elSalvador,equatorialGuinea,Eritrea,Estonia,Eswatini,Ethiopia,faeroeIslands,Fiji,Finland,France,frenchPolynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,hongKong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,isleOfMan,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,DPRK,ROK,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,marshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,newCaledonia,newZealand,Nicaragua,Niger,Nigeria,northMacedonia,northernMarianaIslands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,puertoRico,Qatar,Romania,Russia,Rwanda,Samoa,sanMarino,saoTome,saudiArabia,Senegal,Serbia,Seychelles,sierraLeone,Singapore,Slovakia,Slovenia,solomonIslands,Somalia,southAfrica,southSudan,Spain,sriLanka,stKitts,stLucia,stMartin,stVincent,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,trinidadAndTobago,Tunisia,Turkey,Turkmenistan,Turks,Tuvalu,Uganda,Ukraine,UAE,UK,US,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,virginIslands,westBank,Yemen,Zambia,Zimbabwe
1987,L,,UM,H,,,UM,UM,,H,H,H,,H,H,L,UM,,H,LM,L,H,L,LM,,LM,UM,,H,,L,L,,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,,,,UM,,H,,LM,LM,LM,LM,LM,L,,,LM,L,H,LM,H,H,,UM,L,,H,L,UM,UM,H,LM,H,LM,L,L,L,L,LM,H,UM,H,L,L,UM,UM,H,H,H,H,LM,H,LM,,L,LM,,UM,,H,,L,,LM,L,L,UM,,,H,UM,L,L,LM,L,L,UM,,L,LM,LM,,,,,,LM,L,L,,,L,H,UM,H,LM,L,L,,,H,UM,L,,UM,LM,LM,LM,LM,LM,UM,UM,H,UM,,L,LM,,L,H,LM,,UM,L,H,,,L,L,LM,,H,L,UM,LM,,LM,L,UM,H,H,LM,H,,L,LM,,L,LM,UM,LM,LM,,,,L,,H,H,H,UM,,LM,UM,L,H,,LM,L,LM
1988,L,,UM,H,,LM,UM,UM,,H,H,H,,H,H,L,UM,,H,LM,L,H,L,LM,,LM,LM,,,,L,L,LM,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,,,,H,,H,,LM,LM,LM,LM,LM,L,,,LM,L,H,LM,H,H,,UM,L,,H,L,UM,UM,H,LM,H,LM,L,L,L,L,LM,H,UM,H,L,L,UM,UM,H,H,H,H,LM,H,LM,,L,LM,,UM,,H,,L,,LM,L,L,UM,,,H,UM,L,L,LM,L,L,UM,,L,LM,LM,,,,,,LM,L,L,,,L,H,UM,H,LM,L,L,,,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,UM,H,UM,,L,LM,,L,H,LM,,UM,L,H,,,LM,L,UM,,H,L,UM,LM,,LM,L,UM,H,H,LM,H,,L,LM,,L,LM,UM,LM,LM,,,,L,,H,H,H,UM,,LM,UM,L,H,,LM,L,LM
1989,L,,LM,H,,LM,UM,LM,,H,H,H,,H,H,L,H,,H,LM,L,H,L,LM,,LM,UM,,,LM,L,L,LM,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,,,,H,,H,,LM,LM,LM,LM,LM,L,,,LM,L,H,LM,H,H,,UM,L,,H,L,UM,UM,H,LM,H,LM,L,L,L,L,LM,H,UM,H,L,L,UM,UM,H,H,H,H,LM,H,LM,,L,LM,,UM,,H,,L,,LM,L,L,UM,,,H,UM,L,L,LM,L,L,H,,L,LM,LM,,,,LM,,LM,L,L,LM,,L,H,UM,H,LM,L,L,,,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,H,H,UM,,L,LM,,L,H,LM,,UM,L,H,,,L,L,UM,,H,L,UM,LM,,LM,L,UM,H,H,LM,H,,L,LM,,L,LM,UM,LM,LM,,,,L,,H,H,H,UM,,LM,UM,L,H,,LM,L,LM
1990,L,LM,LM,UM,H,LM,UM,LM,,H,H,H,,H,UM,L,UM,,H,LM,L,H,L,LM,,LM,UM,,H,LM,L,L,LM,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,,LM,,H,,H,LM,LM,LM,LM,L,LM,L,,,LM,L,H,LM,H,H,H,UM,L,,H,L,UM,UM,H,LM,UM,LM,L,L,L,L,L,H,UM,H,L,L,LM,UM,H,UM,H,H,LM,H,LM,,L,LM,LM,UM,,H,,L,,LM,L,L,UM,,,H,UM,L,L,LM,L,L,UM,,L,LM,UM,,,,LM,,LM,L,L,LM,,L,H,UM,H,LM,L,L,,,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,UM,H,LM,,L,LM,,L,UM,LM,,UM,L,H,,,L,L,UM,,H,L,UM,LM,,LM,L,UM,H,H,LM,H,,L,LM,,L,LM,UM,LM,LM,,,,L,,H,H,H,UM,,LM,UM,L,H,,LM,L,LM
1991,L,LM,LM,UM,H,LM,UM,UM,LM,UM,H,H,LM,H,UM,L,UM,UM,H,LM,L,H,L,LM,,UM,UM,,H,LM,L,L,LM,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,,LM,,H,,H,LM,LM,LM,LM,L,LM,L,,UM,LM,L,H,LM,H,H,H,UM,L,LM,H,L,UM,UM,H,LM,UM,LM,L,L,L,L,L,H,UM,H,L,L,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,UM,,H,LM,L,UM,LM,L,L,UM,,UM,H,UM,L,L,LM,L,L,UM,LM,L,LM,UM,LM,LM,,LM,,LM,L,L,LM,,L,H,UM,H,L,L,L,,,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,UM,H,LM,UM,L,LM,H,L,UM,LM,,UM,L,H,,,L,L,UM,,H,L,UM,LM,,LM,L,UM,H,H,LM,H,LM,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,UM,L,H,,L,L,L
1992,L,LM,LM,UM,H,LM,UM,UM,LM,UM,H,H,LM,H,UM,L,UM,UM,H,LM,L,H,L,LM,LM,UM,UM,,H,LM,L,L,LM,L,LM,H,,L,L,H,LM,L,LM,L,L,LM,LM,LM,LM,LM,,H,LM,H,LM,LM,LM,LM,L,LM,L,L,UM,LM,L,H,LM,H,H,H,UM,L,LM,H,L,UM,UM,H,LM,UM,LM,L,L,L,L,L,H,UM,H,L,L,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,UM,,H,LM,L,LM,LM,L,L,UM,,LM,H,UM,L,L,UM,L,L,UM,LM,L,UM,UM,LM,LM,,LM,,LM,L,L,LM,,L,H,UM,H,L,L,L,LM,LM,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,UM,H,LM,LM,L,LM,H,L,UM,LM,,UM,L,H,LM,UM,LM,L,UM,,H,L,UM,UM,,LM,L,UM,H,H,LM,H,L,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,UM,L,H,,L,L,L
1993,L,L,LM,UM,H,LM,UM,UM,L,UM,H,H,LM,H,UM,L,UM,UM,H,LM,L,H,L,LM,L,LM,UM,,H,LM,L,L,LM,L,LM,H,H,L,L,H,UM,L,LM,L,L,LM,LM,L,LM,LM,,H,LM,H,LM,LM,LM,LM,L,LM,L,L,UM,LM,L,H,LM,H,H,H,UM,L,L,H,L,UM,UM,H,LM,UM,LM,L,L,L,L,L,H,UM,H,L,LM,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,UM,,H,LM,L,LM,LM,L,L,UM,,LM,H,UM,L,L,UM,LM,L,UM,LM,L,UM,UM,LM,LM,,L,,LM,L,L,LM,,L,H,UM,H,L,L,L,LM,LM,H,UM,L,,LM,LM,LM,LM,LM,LM,UM,UM,H,LM,LM,L,LM,H,L,UM,LM,,UM,L,H,LM,UM,LM,L,UM,,H,L,UM,UM,,LM,L,LM,H,H,LM,H,L,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,UM,L,H,,L,L,L
1994,L,L,LM,UM,H,LM,UM,UM,L,H,H,H,L,H,UM,L,UM,LM,H,LM,L,H,L,LM,L,LM,UM,,H,LM,L,L,LM,L,L,H,H,L,L,H,UM,L,LM,L,L,L,LM,L,LM,LM,,H,UM,H,LM,LM,LM,LM,L,LM,L,L,LM,LM,L,H,LM,H,H,H,UM,L,L,H,L,,UM,H,LM,UM,LM,L,L,L,L,L,H,UM,H,L,LM,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,UM,,H,L,L,LM,LM,L,L,UM,H,LM,H,H,L,L,UM,LM,L,UM,LM,L,UM,UM,LM,LM,H,L,,LM,L,L,LM,,L,H,UM,H,L,L,L,LM,LM,H,UM,L,,LM,LM,LM,LM,LM,LM,H,UM,H,LM,LM,L,LM,,L,UM,L,,UM,L,H,LM,UM,LM,L,UM,,H,L,UM,UM,,LM,L,LM,H,H,LM,H,L,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,LM,L,H,LM,L,L,L
1995,L,L,LM,UM,H,L,UM,UM,L,H,H,H,L,H,UM,L,UM,LM,H,LM,L,H,L,LM,L,LM,UM,,H,LM,L,L,LM,L,L,H,H,L,L,H,UM,L,LM,L,L,L,LM,L,UM,LM,,H,UM,H,LM,LM,LM,LM,LM,LM,L,L,LM,LM,L,H,LM,H,H,H,UM,L,L,H,L,,UM,H,LM,H,LM,L,L,L,L,L,H,UM,H,L,LM,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,H,,H,L,L,LM,LM,LM,L,UM,H,LM,H,H,L,L,UM,LM,L,UM,LM,L,UM,UM,LM,LM,H,L,,LM,L,L,LM,,L,H,H,H,L,L,L,LM,H,H,UM,L,,LM,LM,LM,LM,LM,LM,H,UM,H,LM,LM,L,LM,,L,UM,L,,UM,L,H,LM,UM,LM,L,UM,,H,L,UM,UM,,LM,L,LM,H,H,LM,H,L,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,LM,L,H,LM,L,L,L
1996,L,LM,LM,UM,H,L,UM,UM,L,H,H,H,L,H,UM,L,UM,LM,H,LM,L,H,L,LM,L,LM,UM,,H,LM,L,L,LM,L,L,H,H,L,L,H,UM,L,LM,L,L,L,LM,L,UM,LM,,H,UM,H,LM,LM,LM,LM,LM,LM,L,L,LM,LM,L,H,LM,H,H,H,UM,L,LM,H,L,,H,H,LM,H,LM,L,L,L,L,L,H,UM,H,L,LM,LM,LM,H,UM,H,H,LM,H,LM,LM,L,LM,LM,H,,H,L,L,LM,LM,L,L,UM,H,LM,H,H,L,L,UM,LM,L,UM,LM,L,UM,UM,LM,L,H,L,,LM,L,L,LM,,L,H,H,H,L,L,L,LM,H,H,UM,L,UM,LM,LM,LM,LM,LM,UM,H,UM,H,LM,LM,L,LM,,L,UM,L,,UM,L,H,UM,UM,LM,L,UM,,H,L,UM,UM,,LM,L,LM,H,H,LM,H,L,L,LM,,L,LM,UM,LM,LM,LM,,,L,LM,H,H,H,UM,LM,LM,LM,L,H,LM,L,L,L
