,Aruba,Afghanistan,Angola,Albania,Andorra,Arab,UAE,Argentina,Armenia,americanSamoa,antiguaAndBarbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,burkinaFaso,Bangladesh,Bulgaria,Bahrain,Bahamas,bosniaAndHerzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei,Bhutan,Botswana,centralAfricanRepublic,Canada,centralEurope,Switzerland,channelIslands,Chile,China,Cote,Cameroon,DRC,Congo,Colombia,Comoros,caboVerde,costaRica,Caribbean,Cuba,Curacao,caymanIslands,Cyprus,czechRepublic,Germany,Djibouti,Dominica,Denmark,dominicanRepublic,Algeria,eastAsia,earlyDemographic,eastAsiaPacific,europeCetralAsia,Ecuador,Egypt,Eurozone,Eritrea,Spain,Estonia,Ethiopia,EU,fragile,Finland,Fiji,France,faroeIslands,"Micronesia, Fed. Sts.",Gabon,UK,Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,equatorialGuinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,highIncome,hongKong,Honduras,HIPC,Croatia,Haiti,Hungary,IBRD,idaIBRD,IDA,IDA_blend,Indonesia,isleOfMan,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Kiribati,stKitts,Korea,Kuwait,latAm,Laos,Lebanon,Liberia,Libya,stLucia,latAmCarib,lowIncome,Liechtenstein,sriLanka,LMI,Lesotho,Lithuania,Luxembourg,Latvia,Macao,stMartin,Morocco,Monaco,Moldova,Madagascar,Maldives,MENA,Mexico,marshallIslands,middleIncome,northMacedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,northAm,Namibia,newCaledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,newZealand,OECD,Oman,Pakistan,Panama,Peru,Philippines,Palau,papuaNewGuinea,Poland,puertoRico,DPRK,Portugal,Paraguay,westBank,frenchPolynesia,Qatar,Romania,Russia,Rwanda,southAsia,saudiArabia,Sudan,Senegal,Singapore,solomonIslands,sierraLeone,elSalvador,sanMarino,Somalia,Serbia,southSudan,Sub-Saharan Africa,saoTome,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Syria,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,UMI,Uruguay,US,Uzbekistan,stVincent,"Venezuela, RB",Vietnam,Vanuatu,Samoa,Kosovo,Yemen,southAfrica,Zambia,Zimbabwe
1960,,11.15702658,,,,,,15.20809609,,,,27.04967446,46.50975849,,25.89285744,76.30136587,18.23419982,20.70137006,19.30394367,,,,,,,,40.14288904,14.17633202,,,,65.91957811,57.45453674,,,54.51582506,,28.88948808,8.734099721,57.14406757,,,106.0604921,30.45201202,,,47.26096506,,,,,,,,,,66.63227343,44.40811024,106.1868043,15.07324275,24.92036697,22.84270422,38.96525109,19.91164659,41.69169853,36.70869376,,15.26805265,,,38.88493235,,43.3504665,,26.96545495,,,66.79819618,41.80065061,,63.63636364,,,,,,24.67103115,,,27.1751655,,105.688828,25.4901263,0,44.42127216,,,,,19.36210144,20.04698907,,,24.09021015,,11.29683284,64.80013725,31.23754168,,86.83569344,23.03251876,25.36059314,71.29296166,,21.0109012,,64.76585106,,35.87443763,,,14.60368295,,21.38672424,,,,,,22.28062365,,,62.86589331,21.46106106,50.20242915,,157.7481358,,,,46.27024488,,,26.65470908,,,20.16920245,,19.5942611,,,,,,,,38.25528135,,60.48109966,113.4235237,9.166206516,,,14.50575374,26.16651287,49.82198605,95.88750397,73.60574001,,,,23.17148433,,,100.1681476,40.48130752,23.42250401,,,,,,33.47752362,,,,,,,22.52100386,13.28957615,,27.56246813,31.08957118,339.3065727,,,,,29.86031318,,,44.1894545,,,,,46.44109154,82.61856962,,49.15659306,30.42721431,62.68016004,33.55985836,,,,,13.28957615,44.1894545,,,5.726872247,,,49.14583075,,19.09353358,32.4137931,9.166206516,,,48.58205757,,,,,,54.11199409,,
1961,,12.55060956,,,,,,11.98989231,,,,27.42036583,44.90723707,,27.58620798,78.81847213,14.11812169,21.21886244,22.48235237,,,,,,,,39.73727422,14.61886702,,,,69.74182766,62.2516546,35.36426043,,55.8302884,,26.92919556,7.360220725,63.39605592,,,103.1207575,26.82114888,,,45.91880922,,,,,,,,,,62.3393037,39.59637988,113.7483279,14.11814777,24.90026616,24.54987637,38.80842423,19.10915839,37.3881932,36.71557164,,16.57385794,,,38.35307134,,41.39129521,,26.25799643,,,62.87450501,40.13515219,,62.58064516,,,,,,24.51897022,,,25.4481309,,105.0533584,26.44256277,173.6820926,44.24480629,,,,,18.76030502,19.47962558,,,24.67560094,,10.26116235,69.75488497,29.5952435,,79.68445023,22.7497212,25.65545084,68.29472018,,20.17956109,,63.84712143,,31.55555598,,,18.00132582,,20.7484073,,,,,,21.57644049,,,56.02297322,21.24472612,58.03921569,,164.1522509,,,,46.532038,,,34.10808985,,,19.02774011,,19.07164075,,,,,,,,41.38739576,,56.77626303,110.802652,11.32856937,,,17.826578,25.48501041,47.9552224,93.06376226,72.0831473,,,,23.43161874,,,100.8546035,43.00818805,26.61732194,,44.23604758,,,,36.05248861,,,,,,,21.31147261,12.39797411,,27.66557069,39.91815044,299.4018883,,,,,39.07957524,,,42.94980081,,,,,44.03452456,76.79067058,,39.98186453,32.46780886,69.47032902,34.44557136,,,,,12.39797411,42.94980081,,,11.96105702,,,46.0620967,,18.4872183,28.97727273,8.929522457,,,48.65563943,,,,,,50.62335382,,
1962,,14.22764443,,,,,,14.07552565,,,,26.56795406,45.61809015,,29.50819589,81.15764325,13.47712766,21.23794839,21.55484828,,,,,,,,40.75464614,9.057734119,,,,72.76503188,62.29507257,35.07071765,,55.71547345,,24.14915499,6.960936156,60.1395535,,,93.44131169,24.45081756,,,48.77298076,,,,,,,,,,61.12438656,48.05242082,40.61251936,12.84604162,22.86648912,23.10963652,38.46027093,21.0358891,34.57085095,36.55748049,,18.42278072,,,37.95993214,,41.35823847,,24.94987464,,,62.48265715,39.04437356,,52.68490375,,,,,,25.39695776,,,25.20986359,,101.5260323,25.99845492,165.0051802,44.56479691,,,,,16.67506396,17.4196289,,,10.56100667,,10.20078993,66.74734992,28.17599995,,86.61849414,34.52855246,25.87554096,67.93863407,,18.72175154,,62.16296315,,36.79653502,,,19.47238928,,18.52120479,,,,,,19.39183267,,,56.99396926,18.60750506,62.20735786,,155.9772942,,,,39.11311049,,,32.13855811,,,18.67784211,,16.97052212,,,,,,,,45.62209819,,56.42201835,109.2359311,11.31206606,,,22.23136708,21.82950078,55.33508066,91.47200779,69.28442941,,,,23.16393283,,,110.3503813,41.92622851,36.18234058,,44.12521441,,,,34.22538285,27.30593205,,,,,,22.07999859,12.32194574,,29.66486486,38.41450429,286.6445262,,,,,40.30810883,,,41.31793882,,,,,43.29733632,93.58129837,,42.49716343,33.65933722,65.46756204,33.33618024,,,,,12.32194574,41.31793882,,,13.57409714,,,45.55511978,,16.53092687,25.77319588,8.940670963,,,49.57933954,,,,,,50.06589786,,
1963,,26.03551143,,,,,,15.78090624,,,,26.83295147,46.28469294,,21.80451147,84.38258376,15.44725902,21.24850128,21.63976306,,,,,,,,43.32287308,18.14745427,,,,76.3398002,63.72239745,34.88905115,,54.90175299,,27.0672236,6.865336858,57.45531759,,,94.32042104,24.33324947,,,49.21566897,,,,,,,,,,61.19424866,46.70493694,61.5101972,12.80960298,23.984531,23.21870145,38.71670688,19.19029712,41.34578413,37.13144767,,18.49234533,,,38.39138727,,38.4806587,,25.06285613,,,92.49665716,39.04649845,,48.63636364,,,,,,26.73306329,,,30.21856193,,109.0607368,26.20131092,153.2751511,46.80643588,,,,,18.01036956,18.72200109,,,18.41810022,,10.1873376,69.72596742,27.7909133,,83.51703828,34.65523003,26.50846578,68.20501097,,18.91419383,,60.99571232,,38.03921406,,,18.60173578,,22.37145322,,,,,,23.15293619,,,53.24937922,20.49837445,65.77380952,,152.0897197,,,,38.00104159,,,32.70676241,,,18.27372642,,18.26309341,,,,,,,,54.74161191,,59.35436537,90.06667361,11.31051144,,,19.63342023,22.31646302,59.06679898,92.74529416,70.37658637,,,,23.27003836,,,112.7506331,40.02640036,35.57105885,,48.37662338,,,,35.88074465,24.53485487,,,,,,18.59375156,12.30858205,,34.75026567,35.62225085,296.8814525,,,,,41.84202792,,,42.85011068,,,,,43.46087167,112.7666893,,40.59841476,32.16026944,55.23304311,33.50933963,,,,,12.30858205,42.85011068,,,11.15879828,,,52.17148485,,17.66283124,24.03433476,8.957093642,,,47.22456969,,,,,,51.80508097,,
1964,,26.94444795,,,,,,11.12742968,,,,28.69598002,46.98558125,,26.17449661,85.3268781,17.38050343,14.31727564,24.15026781,,,,,,,,43.77224199,12.06300928,,,,77.38771244,69.25285968,36.54169826,,54.87153627,,25.47595798,6.633104293,60.60880001,,,94.60161267,24.60911788,,,52.98763339,,,,,,,,,,62.48017309,47.72816378,54.52382126,13.25028422,24.13520861,23.01027449,39.08477849,19.04451204,43.27228327,37.62865044,,20.19538931,,,38.84283999,,40.16856613,,25.68630559,,,77.84335145,39.15647233,,43.77022654,,,,,,26.92635254,,,33.47702513,,110.6319257,26.34082452,153.5077389,47.22100656,,,,,17.24148438,18.03110438,,,25.31716549,,9.410548695,69.77683598,32.72864983,,75.58398626,34.10336727,25.53170551,72.43504912,,19.18499197,,62.60164409,,30.65693596,,,17.34451055,,19.14877464,,,,,,20.01356137,,,51.33726182,21.84943598,64.95956873,,154.3765695,,,,38.62721854,,,33.23064101,,,17.48649402,,17.58646093,,,,,,,,66.16373587,,47.73544213,86.77631733,11.68220533,,,23.36530126,24.61532252,59.37395215,91.29548426,71.68940612,,,,23.57848477,,,109.4196582,37.31221613,36.676049,,52.60454879,,,,46.0262968,26.59177486,,,,,,24.61538575,11.73779627,,33.47124535,35.68738657,255.0306883,,58.59321812,,,46.41654072,,,43.75334523,,,,,44.21557242,99.968329,,35.9165248,35.05707451,70.6521351,36.13004069,,,,,11.73779627,43.75334523,,,9.940357853,,,52.99398534,,16.441682,23.28358209,9.200933217,,,48.1611808,,,,,,52.95546559,,
1965,,32.67108262,,,,,,10.37645741,,,,28.48013817,48.23931495,,22.88225297,83.99006921,22.17327364,16.02921712,23.02931371,,,,,,,,48.14763231,13.29168623,,,,82.31707317,64.76964499,36.4326662,,54.52772844,,25.93150634,6.828143022,66.94763093,48.0200388,,89.09463187,21.84400212,,,55.75155628,,,,,,,,,,60.8372777,36.57245806,48.43702191,12.15330233,22.85930083,22.84767818,38.87275177,19.27013828,37.26329729,37.71140639,,21.33913148,,,38.62047985,,40.05693083,,25.8033546,,,80.54054054,37.90561305,,43.86084584,,,,,,27.99839293,,,36.39777951,,112.9103448,26.71320674,141.0879381,54.0843409,43.82332089,,,,16.62818663,17.50839071,,,11.01223113,,8.519034166,73.80077756,32.62603557,,71.19186443,50.77343039,26.41623085,70.1468894,,19.65267588,,62.09317118,,24.01315789,,,21.46156622,90.78771696,19.447961,,,,,,20.38167657,,,51.39782286,19.21753835,68.87755102,,158.1048117,,,,35.0536193,,,33.21170334,,,17.15692308,,17.02653341,,,,,,,,63.81658948,,52.71507016,85.66387735,11.69341962,,,23.5004195,26.9107028,61.70759758,85.7964652,71.73766102,21.688683,,,23.75796198,,,112.6719604,34.66368268,38.34283946,,56.00390498,,,,48.33395315,30.70922493,,,,,,29.03226197,11.0022782,,29.27749107,34.50284372,257.5412254,,60.14803272,55.19755731,,37.7908151,,,44.26170348,,,,,44.40045416,118.5258964,,34.0800718,31.31329359,63.09369704,34.91623818,,,,,11.0022782,44.26170348,,33.44224486,9.935004643,,,49.93668883,,16.42238901,29.87249545,9.224149523,,,48.2249176,,,,,,52.48270751,,
1966,,27.14285731,,,,,,11.64260542,,,,28.05569246,48.92554253,,23.7683402,88.03574573,23.04260784,16.70021919,22.93610297,,,,,,,,47.73584906,12.81640431,,,,80.21680217,70.87628866,37.83415656,,54.90435454,,27.74484488,6.729496479,65.10334587,44.57197133,,80.99630996,24.32830729,,,55.55452176,,,,,,,,,,59.3351573,41.68106515,50.63976952,14.04459391,25.26885648,24.24310812,39.30344315,21.60006919,36.8175684,38.51479351,,22.44910439,,,39.08161962,,39.32876432,,26.53715193,,,79.30463234,37.65279397,,34.25559947,,,79.74794174,,,28.64387132,,,38.07435105,,115.149177,27.26846754,155.3493908,58.69624511,42.83361568,,,,17.68043807,18.48402514,,,34.85280152,,10.81423725,75.41632623,33.90697886,,66.71128399,49.61474037,27.70560583,73.32141945,,19.60882289,,63.28443577,,20.625,,,26.66385214,90.04683841,19.21578233,,,,,,20.24656553,,,48.21878374,24.42892096,67.40740741,,150.0867107,,,,38.33470734,,,40.49278214,,,16.48486842,,17.97415691,,,,,,,,64.05176,,58.8172043,82.6071776,12.13557523,,,28.53846804,25.03628128,61.23577948,84.20882584,72.46087137,14.40150487,,,24.20245259,,,116.1108186,34.72761708,38.74909559,,56.9177886,,,,48.24523581,29.38911792,,,,,,31.27753591,12.83929297,,28.26465467,36.6995374,253.7778572,,59.39597315,54.44100181,,37.53264752,,,42.05000193,,,,,43.35503833,146.9945355,,40.64747597,31.87583478,70.10941758,35.5602503,,,,,12.83929297,42.05000193,,34.52881976,9.771473601,,,50.89258699,,16.19432998,28.61538462,9.570552147,,,44.81399939,,,,,,48.41926346,,
1967,,20.98273546,,,,,,12.49266037,,,,26.77031906,48.30854122,,22.68636626,84.95429386,27.43808832,18.85581328,21.90186011,,,,,,,,48.51319746,11.53794213,,,,75.38734111,73.20096774,38.65001669,,54.01913197,,26.95417374,6.253483447,65.01500699,43.20451703,,86.30140176,21.55400928,,,56.10177052,,,,,,,,,,57.33704325,43.09045226,45.06618609,12.97052275,24.70332712,23.47754203,38.64838804,22.13877914,35.93971911,37.5600726,,20.43472283,,,38.34331817,,38.3132565,,26.24897892,,,96.10781437,37.99073317,,37.36702128,,,87.71131855,,,27.39317156,,,35.72067423,,117.234893,27.09528503,156.6009693,59.07038957,42.99516527,,,,16.85920305,17.8330775,33.39788074,32.67905741,25.64284029,,9.981062429,73.82730133,36.95543839,,63.91742892,61.11662531,27.96178321,72.853019,,19.1036703,,57.83734666,,18.99109809,,,28.7992081,87.9587156,18.4535169,,,,,,19.4786842,,,43.76452363,22.93381712,68.74557052,,147.1200489,,,,38.07732226,,,39.0183149,,,15.8771988,,17.34508777,,35.26535221,,,,,,64.90572103,,58.95598772,79.80732125,12.30780721,,,22.8043547,28.48840338,61.50602078,81.35971408,74.70134954,13.82696783,,,24.03624066,56.18556701,27.28263303,114.725278,35.59791635,40.56967474,,56.99795715,,,,47.09657162,27.84606215,,,,,,25.92504157,13.31775234,,30.65928176,35.45654348,235.9349851,,58.39271576,54.29625077,,35.90377641,,,43.22429513,,,,,42.09835533,157.8651685,,34.90472896,32.52602727,65.52438389,38.3731248,,,,,13.31775234,43.22429513,,35.73684211,9.090909091,,,49.68881169,,15.72055268,27.78771616,9.678542416,,,44.63591592,,,,,,48.79585408,,
1968,,24.11003307,,,,,,11.88816489,,,,26.77683684,49.01388117,,23.6625078,89.27256583,28.41122937,21.49212882,19.93714038,,,,,,,,43.81868132,12.61091042,,,,86,73.94352311,40.241062,,56.24126204,,26.79748546,6.220973568,68.6948357,46.75675569,,87.62057878,24.58445758,,,60.22197632,,,,,,,,,,57.35987906,45.13020109,47.32288896,12.9475693,28.02417741,24.4773893,40.17279601,24.96037301,29.26348956,38.65856795,,23.16902129,,,40.02618742,,41.53649074,,26.63574216,,,97.6679979,42.1957977,,41.17647059,,,90.98379009,,,26.72939399,,,35.15057436,,113.3841132,28.95366623,175.0438517,62.02844774,44.23685188,,,,16.90841455,17.829816,32.55597727,30.42440444,26.44632041,,8.981744261,78.85447921,37.99193979,,70.97695861,77.64306849,28.51409991,78.90832595,,19.12537985,,58.69817098,,19.30294973,,,32.78910359,87.80231335,19.2982099,,,,,,20.26396831,,,44.21013343,21.62322168,67.21348827,,149.0416172,,,,38.53820598,,,40.54051418,,56.2190097,16.39158038,,17.3352421,,28.31769264,,,,,,59.94638858,,62.99559471,83.28834821,12.76860236,,,22.29032529,25.66352624,57.07716619,81.43023317,73.47648594,14.34546175,,,24.99466897,84.87928844,23.93001763,113.9839903,36.98378392,36.39349757,,58.9335044,,,,45.49486598,29.12578192,,,,,,23.87920772,12.11424899,72.44894146,31.95823348,44.82373369,256.8004766,,50.53053423,52.45206262,,36.41112344,,,42.64076456,,,,,43.14854907,147.7192982,,37.88266154,33.62604128,71.10535461,37.62027234,,,,,12.11424899,42.64076456,,31.78610632,8.761904762,,,46.55870445,,16.08880971,27.38836265,10.0265252,,,44.78950282,,,,,,47.47626657,,
1969,,25.07886423,,,,,,12.79742663,,,,25.28282272,52.72525966,,21.75328967,96.49128993,33.20172495,22.34960836,19.81132117,,,,,,,,43.67077146,13.17411689,,,,75.33753375,64.93312236,41.39369842,,60.04821092,,30.14406746,5.453062889,63.83159118,46.24256492,,88.9695727,25.54865387,,,58.54861708,,,,,,,,,,57.94551061,44.59162942,51.8595349,11.95453044,27.5708953,24.5083853,41.89499426,20.60530271,29.98589772,40.89914112,,24.46148591,,,41.87062458,,44.98209901,,28.81362869,,,108.7063246,42.555612,,40.07996002,,,91.48459086,,,27.14721438,,,35.23376677,,114.6811071,29.8824543,181.1133405,58.84730098,43.45862229,,,,16.46164082,17.39931338,32.38552535,30.46289091,23.8410596,,7.744776458,78.46815715,39.07814317,,84.3625011,80.04753565,30.39060378,80.21557369,,19.53611724,,57.61735624,,17.50599533,,,33.07201953,92.41658241,19.56914157,,,,,,20.66046788,,,43.00983326,20.28976607,65.15280136,,152.2542486,,,,37.20980573,,,41.22081741,,57.76846114,16.81746305,,16.84749253,,30.21585562,,,,,,62.34659528,,63.06997743,84.6004368,12.88564202,,,25.83069491,26.82113615,51.56613881,84.62913451,71.91319335,17.2323108,,,25.73385311,86.5,22.52954583,117.2900036,34.28676238,32.50257093,,64.81107875,,,,44.01577681,31.77920762,,,,,,22.03497077,10.97813768,73.13276003,31.10523861,48.97939225,273.6976758,,52.82243265,48.98036974,,39.64092361,,,41.90520188,,,,,45.88145915,119.123506,,38.80053508,30.90566203,78.23318519,36.12230081,,,,,10.97813768,41.90520188,,34.80507974,8.333333333,,,41.87133102,,15.84689046,25.52806276,10.04020002,,,44.32513018,,,,,,45.46971467,,
