Country,Time,Moody_LTF,SP_LTF,Fitch_LTF,Moody_STF,SP_STF,Fitch_STF,Moody_LTL,SP_LTL,Fitch_LTL,Moody_STL,SP_STL,Fitch_STL
Argentina,4/4/2017,,B,,,,,,B,,,,
Argentina,5/6/2016,,B-,,,B,,,,,,,
Argentina,4/21/2016,B3,,B,,,,,,,,,
Argentina,4/15/2016,,SD,,,D,,,B-,,,B,
Argentina,2/3/2016,,,,,,,,B,,,B,
Argentina,10/31/2014,,,,,,,,,,,,
Argentina,7/31/2014,,,C,,,,,,CCC,,,
Argentina,7/30/2014,,SD,,,SD,,,,,,,
Argentina,7/1/2014,,CCC-,,,C,,,,,,,
Argentina,6/17/2014,,CCC-,,,,,,,,,,
Argentina,9/10/2013,,CCC+,,,C,,,CCC+,,,C,
Argentina,4/30/2013,Ca,,,,,,,,,,,
Argentina,11/27/2012,,,CC,,,,,,B-,,,
Argentina,10/31/2012,,B-,,,,,,,,,,
Argentina,10/30/2012,,,B,,,,,,,,,
Argentina,4/4/2011,,B,,,B,,,B,,,B,
Argentina,9/13/2010,,B,,,B,,,B,,,B,
Argentina,7/12/2010,,,B,,,,,,B,,,
Argentina,12/18/2008,,,B-,,,,,,B-,,,
Argentina,10/31/2008,,B-,,,C,,,B-,,,C,
Argentina,9/30/2008,,,,,,,,,,,,
Argentina,8/11/2008,,B,,,,,,B,,,,
Argentina,10/2/2006,,B+,,,,,,B+,,,,
Argentina,8/1/2006,,,B,,,,,,B,,,
Argentina,3/23/2006,,B,,,B,,,B,,,B,
Argentina,6/29/2005,B3,,,,,,,,,,,
Argentina,6/1/2005,,B-,,,C,,,B-,,,C,
Argentina,1/13/2005,,,D,,,,,,,,,
Argentina,4/26/2004,,,,,,,,,B-,,,
Argentina,8/20/2003,Caa1,,,,,,B3,,,,,
Argentina,1/24/2003,,,,,,,,,CC,,,
Argentina,2/12/2002,,,,,,,,,,,SD,
Argentina,12/20/2001,Ca,,,,,,Ca,,,,,
Argentina,12/3/2001,,,DD,,,,,,,,,
Argentina,11/6/2001,,SD,C,,,,,SD,C,,,
Argentina,11/2/2001,,,CC,,,,,,CC,,,
Argentina,10/30/2001,,CC,,,,,,CC,,,,
Argentina,10/12/2001,Caa3,,CCC-,,,,Caa3,,CCC-,,,
Argentina,10/9/2001,,CCC+,,,,,,CCC+,,,,
Argentina,7/26/2001,Caa1,,,,,,Caa1,,,,,
Argentina,7/13/2001,B3,,,,,,B3,,,,,
Argentina,7/12/2001,,B-,,,,,,B-,,,,
Argentina,7/11/2001,,,B-,,,,,,B-,,,
Argentina,6/6/2001,,B,,,C,,,B,,,C,
Argentina,6/4/2001,B2,,,,,,B2,,,,,
Argentina,5/8/2001,,B,,,C,,,B,,,C,
