,Afghanistan,Albania,Algeria,Angola,antiguaAndBarbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,bosniaAndHerzegovina,Botswana,Brazil,Brunei,Bulgaria,burkinaFaso,Burundi,caboVerde,Cambodia,Cameroon,Canada,centralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,DRC,Congo,costaRica,Cote,Croatia,Cyprus,czechRepublic,Denmark,Djibouti,Dominica,dominicanRepublic,Ecuador,Egypt,elSalvador,equatorialGuinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,hongKong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyzstan,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,marshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,newZealand,Nicaragua,Niger,Nigeria,northMacedonia,Norway,Oman,Pakistan,Palau,Panama,papuaNewGuinea,Paraguay,Peru,Philippines,Poland,Portugal,puertoRico,Qatar,Romania,Russia,Rwanda,Samoa,sanMarino,saoTome,saudiArabia,Senegal,Serbia,Seychelles,sierraLeone,Singapore,Slovakia,Slovenia,solomonIslands,Somalia,southAfrica,southSudan,Spain,sriLanka,stKitts,stLucia,stVincent,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,trinidadAndTobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UAE,UK,US,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1989,,,,,,,,,30.594,43.257,,,,6.238,,,46.373,,17.966,38.186,18.909,,,,39.148,,18.161,,,,,40.536,16.367,,,17.57,16.308,18.379,,21.9,,,,,,54.533,,,,,,,40.626,,,21.027,19.687,,53.939,47.691,,,,,6.842,22.573,,,,,,,,14.988,,38.278,17.69,13.991,,,,,38.326,,30.964,35.848,,18.536,53.176,,,,,,,,39.653,,,,,,15.42,,,,,,,,,,,,34.976,,,19.217,,,,,44.899,45.605,,,,,49.32,,14.771,,,22.168,17.285,,14.49,,37.97,,,,,,,,,,,,59.93,,,,,29.736,,,,38.079,,21.052,22.253,27.782,,,60.926,29.126,,22.85,,,,,19.845,,26.4,,,,,,,,34.136,,,,,31.619,,,,
1990,,,28.896,,19.016,,,,30.314,44,,8.752,26.661,10.593,,,47.184,,14.879,29.819,18.376,,,,38.278,,12.244,29.736,,,,42.18,15.411,,23.406,17.399,17.093,19.247,,27.372,14.525,,,,,53.415,26.955,26.82,,,,14.061,52.746,,,23.013,13.998,,53.69,47.698,18.758,,,,4.971,24.864,21.196,,14.784,,,,17.232,14.48,,39.048,17.442,16.815,17.827,,,,42.834,25.296,31.95,36.743,,18.514,85.77,,,60.328,,,,9.823,41.724,,34.419,,,,16.397,,30.674,20.561,,,,22.47,,20.964,,,36.218,,23.011,13.938,,27.815,,,44.815,46.663,,,19.296,,50.594,47.324,15.065,,,21.983,18.07,,17.786,,35.341,,45.293,39.384,,,,,,,,,57.974,,17.025,,,31.611,,,,38.14,19.603,19.929,18.751,27.416,14.758,21.017,61.669,28.237,24.34,24.382,,,,,20.504,,26.555,28.818,,,,,,16.532,33.456,,,,,35.771,,16.363,,
1991,,,31.596,,17.642,,,,30.331,44.649,,9.621,26.133,10.97,,,47.758,,14.149,31.584,19.981,,,,37.906,,15.967,27.184,,,,43.079,14.637,,22.951,15.51,18.095,17.695,,25.492,11.638,,,,,52.447,26.841,25.969,,,,14.594,48.481,,,22.201,11.321,,56.031,48.409,23.053,,,43.279,5.99,25.212,22.496,,13.043,18.268,,,18.62,15.937,,41.791,19.037,15.551,15.217,,,,44.037,23.639,31.523,34.963,,13.151,74.824,,,52.861,,,,16.098,41.054,,37.038,,,,11.045,,28.995,27.48,,,,19.4,,22.875,,,33.937,,21.538,18.1,,30.588,,,47.605,46.719,,,17.504,,49.562,43.059,13.187,,,21.267,14.665,,18.298,,38.01,,44.543,41.514,,,,,,31.665,,,55.255,,16.532,,,40.805,,,,39.015,19.071,19.135,19.599,27.814,19.223,18.032,60.949,28.201,27.698,20.899,,14.768,,,14.936,,29.772,23.47,,,,,,39.437,32.996,,,,30.404,31.616,,18.981,,
1992,,,29.478,,18.801,,,,29.362,46.866,,9.566,25.013,10.791,,,47.299,,15.69,32.271,20.853,,,,30.781,,16.016,25.545,,,,43.309,15.765,,23.203,13.429,18.397,18.377,,22.459,12.283,,28.691,,,53.77,28.755,25.145,,,,15.146,37.271,39.51,,21.33,9.313,23.688,55.888,47.99,21.641,,,44.712,5.041,25.896,20.338,,11.606,16.747,,,20.155,16.17,,42.409,18.472,15.28,16.928,,,,46.481,21.6,31.436,37.575,,12.418,85.315,,,41.242,,,,12.151,39.634,,26.58,,,,13.846,,30.015,23.489,,,,17.953,,22.542,,,17.986,,22.117,23.007,,32.283,,,47.188,46.118,,,23.784,,48.958,40.452,14.203,,,18.038,15.861,,18.516,,43.024,,42.964,36.98,,16.959,34.373,,,33.044,,,57.154,,17.23,,,40.524,,,,40.623,18.686,20.28,19.702,24.429,25.904,19.249,58.11,28.93,26.903,22.398,,12.621,,,13.994,,26.034,23.339,,,,,,32.74,32.213,,,25.808,29.509,24.279,,13.725,,
1993,,,26.905,,17.949,22.685,26.097,,29.465,49.468,,10.46,24.946,11.986,,,49.149,,15.813,41.577,21.081,,,,30.936,,15.807,26.542,,,,42.543,14.963,,22.793,12.52,19.823,17.559,,24.099,12.353,,30.399,,,55.622,28.233,23.766,,,,15.737,38.371,71.445,,19.23,9.652,23.898,55.478,48.846,21.526,,,45.135,7.286,26.797,22.973,,10.651,21.604,,,19.323,17.304,,40.355,17.32,13.505,26.717,,,,47.796,22.569,30.3,34.798,,13.779,77.106,,,45.633,24.61,,,15.86,43.196,,25.226,,,,12.944,,28.053,20.842,,,,21.295,,17.71,,,21.348,,22.844,21.397,,30.736,,,47.802,45.158,,,19.612,,48.305,38.078,14.317,,,18.219,17.157,,18.763,,38.421,,43.205,33.104,,16.221,37.219,,,28.405,,,56.731,,18.875,,,36.847,,,,40.403,17.988,21.57,23.79,23.01,15.644,17.643,57.161,29.884,24.443,22.824,,14.387,,,8.535,,27.519,24.594,,,,,,27.913,30.978,,,28.245,22.531,24.746,,12.967,,
1994,,,29.189,,17.838,22.363,26.152,,30.018,49.005,17.868,11.349,21.85,11.885,24.143,,49.172,,16.391,39.313,23.767,,,,32.475,,17.931,20.501,35.446,,,42.077,14.778,,22.214,10.688,20.496,18.099,,23.473,12.022,,40.686,,,55.69,25.975,23.835,,,,16.256,22.532,59.045,,19.395,12.239,24.08,55.725,49.202,22.38,,11.636,45.753,8.417,28.052,21.903,,10.023,21.845,,,18.057,16.389,,39.989,17.897,13.529,23.218,,,,46.017,22.878,29.574,32.627,22.198,19.514,67.685,,,49.392,20.754,,,18.211,45.304,,26.692,,,,11.197,,28.718,25.789,,,,19.44,,17.498,,,19.199,,20.809,22.323,,29.842,,,45.975,44.679,,,12.82,,49.105,37.002,13.585,,21.632,17.865,19.47,,19.822,,35.393,,38.678,30.902,,4.487,45.723,,,25.482,21.081,,56.701,,19.629,,,37.832,,,,39.512,17.259,23.04,20.911,24.925,16.519,19.128,56.585,30.474,24.261,22.15,,13.017,,,10.546,,26.46,24.201,,,,,,28.317,31.593,,,23.154,22.862,31.03,,11.155,,
1995,,,29.968,,18.243,21.413,17.837,25.498,31.166,49.681,17.572,11.713,21.977,11.891,25.729,,47.941,,17.581,39.291,23.964,,,,32.963,,18.883,21.417,35.496,,,42.246,15.729,11.901,22.711,10.143,21.261,14.264,,24.619,12.79,,42.063,29.703,40.496,54.906,21.883,25.874,,19.071,,16.545,18.085,58.261,39.36,20.14,14.633,23.928,54,49.7,27.717,,11.066,45.685,9.115,36.269,22.782,9.751,10.751,17.919,,,16.968,15.791,46.51,41.099,17.852,12.548,22.228,,38.69,,44.551,24.202,29.611,34.374,16.861,22.769,79.01,15.99,,52.734,24.359,,,17.471,46.464,,32.466,28.964,45.347,,11.432,,25.7,25.595,,,,19.217,,17.501,76.898,32.863,18.504,,20.272,19.403,,30.065,,,44.15,45.208,,12.157,16.047,,51.993,39.369,12.574,,23.47,17.758,19.151,,19.673,43.058,37.45,,39.171,31.073,,18.938,37.323,,,27.29,16.436,,50.516,,18.604,44.811,39.548,30.535,,,,38.305,18.248,24.589,21.098,23.061,9.398,22.925,55.202,31.186,25.949,21.083,,13.458,20.23,,13.124,,26.904,23.129,,,,,36.569,29.631,32.48,,,28.25,25.375,27.005,,18.388,,
1996,,,32.107,39.104,19.246,20.493,15.41,25.114,32.173,51.272,17.586,11.356,23.894,9.169,25.251,42.676,48.735,24.058,18.003,42.117,24.148,,,32.931,35.778,,20.341,18.423,30.644,8.129,,42.812,10.653,11.842,22.866,10.274,22.642,12.098,1.611,27.853,13.032,,43.544,29.488,38.761,55.516,21.915,26.868,,18.465,,16.977,16.588,50.242,37.794,20.907,14.861,22.811,55.074,50.975,24.343,,12.844,45.849,7.339,36.925,23.233,10.428,9.763,20.996,,,18.793,16.39,46.459,41.757,17.354,12.47,20.234,,38.738,,44.989,22.691,29.477,33.6,13.223,19.612,58.657,16.69,,56.123,19.517,,,17.904,43.002,,43.427,27.725,45.26,,12.87,,25.66,25.211,,,,24.104,,18.033,74.556,29.889,18.599,,19.974,14.885,,29.4,,,44.376,42.359,,13.411,15.825,,52.735,40.923,13.34,,20.101,19.174,19.939,,20.785,45.883,38.412,,39.772,28.718,,17.201,41.103,,,30.096,16.012,,49.418,,20.08,43.366,39.018,30.222,,,,38.736,16.75,24.571,20.395,24.577,6.695,26.566,57.083,31.571,24.868,19.961,,14.947,20.711,,12.307,,27.701,22.551,,,,,33.801,29.269,31.931,,,34.263,22.68,35.67,,29.78,,
1997,,18.398,33.331,34.882,18.081,21.394,15.751,22.887,32.389,49.904,19.159,11.268,25.647,9.355,27.871,41.414,49.112,24.175,17.989,37.403,24.999,,,32.98,33.252,,19.551,16.64,27.773,8.693,,43.503,12.895,12.228,22.84,10.811,23.019,13.246,1.456,28.595,12.93,19.937,42.678,29.394,38.77,54.707,22.153,25.91,12.445,18.315,,15.317,17.966,54.5,38.879,22.05,16.176,24.465,53.6,50.878,31.104,,15.195,45.626,6.283,37.65,21.63,10.963,10.576,17.234,25.583,10.044,19.473,20.453,43.885,41.734,16.663,14.216,18.853,,37.831,,46.611,21.811,30.079,31.533,13.471,19.501,91.658,16.56,,60.844,21.85,,,16.006,44.368,,33.252,30.902,46.983,,14.976,,25.995,23.703,,,64.145,20.931,,18.056,67.126,32.062,19.455,,21.749,17.471,,31.775,,,43.157,40.45,,13.859,15.231,31.914,52.538,42.252,12.31,,21.04,20.751,21.616,,21.304,41.485,38.754,,33.771,28.332,,17.529,33.819,,,33.092,14.917,,48.839,,20.209,42.255,38.304,22.897,,,,38.75,16.224,24.111,20.039,25.472,6.79,22.258,56.417,31.159,27.192,19.556,,12.802,19.954,,12.97,,27.526,21.846,,24.854,,16.91,35.444,29.645,32.585,,,30.472,21.706,33.566,,32.722,,
1998,,26.826,27.363,27.629,20.66,21.96,17.146,21.687,34.477,51.385,20.353,11.607,21.064,8.924,26.685,46.467,49.612,24.585,17.388,33.726,24.873,53.45,,33.648,25.51,36.009,19.281,18.048,30.083,8.048,,43.549,18.051,10.917,22.414,11.553,22.545,11.077,1.236,22.871,13.126,19.17,46.074,30.53,37.899,55.007,20.432,27.052,12.223,15.726,,15.733,27.436,47.643,39.653,22.415,17.484,31.914,52.896,50.546,32.384,,15.195,45.578,7.038,38.881,22.906,11.46,10.093,4.348,22.501,9.666,22.312,16.747,43.161,40.006,16.011,13.185,14.21,,36.622,,45.29,22.725,29.05,30.392,18.188,20.074,101.936,17.596,,58.891,23.972,,36.388,17.424,39.218,,31.473,31.218,47.135,,13.689,,22.486,23.626,,,65.249,18.292,,15.868,69.285,31.306,20.406,,21.882,16.351,16.074,32.635,,,42.221,39.574,,15.191,10.828,30.558,50.594,36.404,12.057,,20.926,19.411,22.731,,19.631,39.769,38.323,,39.817,29.397,32.227,16.343,30.531,,,25.656,14.424,,44.028,,20.479,40.359,39.431,22.427,,,,39.109,15.079,25.173,23.226,25.464,7.228,25.651,56.569,31.942,26.016,21.889,12.048,11.504,17.629,,12.836,,25.423,22.383,,25.379,,17.187,34.398,27.537,33.865,,,32.831,21.24,24.301,20.211,26.499,,
